단어,원형성,친숙성,쾌-불쾌,활성화
발끈하다,4.28,4.38,2.57,5.54
배신감*,4,4.93,1.73,5.72
서러워하다,4.62,5.37,2.41,4.05
서럽다*,4.96,5.22,2.51,4.32
서먹하다*,4.16,4.93,2.67,3.61
서운하다,4.69,5.76,2.84,3.18
선뜩하다,3.19,3.11,2.89,4.69
선호하다,4.18,4.96,4.83,4.38
설레다*,5.52,5.29,5.21,5.26
설워하다,3.29,3.22,2.57,4.04
섬뜩하다,4.45,4.52,2.17,5.42
섭섭하다,4.9,5.74,2.47,3.83
성나다,4.3,4.92,2.33,6.1
성내다,4.36,4.92,2.75,5.86
성취감,4.52,5,5.84,5.5
소름끼치다,4.64,5.18,2.35,5.85
소외감,3.9,4.89,2.16,3
속상하다*,4.67,5.7,2.32,4.48
속시원하다,5.2,5.4,5.43,4.15
속타다*,4.4,4.76,2.5,4.92
송구하다,3.09,3.28,3.06,3.66
송연하다,2.52,1.9,3.32,3.07
수심,3.14,2.91,2.59,3.41
수치,4.01,4.41,2.16,4.76
숙연하다,3.48,3.63,3.6,2.94
순정,4.1,4.68,5.01,3.28
스산하다,3.07,3.02,2.85,3.72
슬프다*,5.08,5.85,2.69,3.44
시기하다,4.08,4.79,2.53,4.61
시름겹다,2.52,2.81,2.4,3.17
시무룩하다,4.27,4.92,2.7,2.63
시원섭섭하다,4.71,4.96,3.89,3.61
시큰둥하다,4.12,4.73,2.88,3.15
상실감*,4.18,4.34,2.29,3.15
상심하다,3.9,4.37,2.28,3.52
상쾌하다,5.5,5.85,5.99,5.16
상큼하다*,4.95,5.08,5.61,4.32
샐쭉하다,3.21,2.64,2.83,3.37
샘내다*,4.62,4.92,2.75,4.98
서글프다,4.72,4.98,2.33,3.81
실의,3.24,3.54,2.31,3.6
